videoId,categories
-0iPHNTYfOI,"[('Food', '0.384545'), ('Vehicle', '0.0851527'), ('Animal', '0.0577459'), ('Car', '0.0416103'), ('KFC', '0.0315778'), ('Chocolate', '0.0247004'), ('Television advertisement', '0.0245096'), ('Photography', '0.0165049'), ('Toy', '0.0128992'), ('Pet', '0.0121004'), ('Exhaust system', '0.011121'), (""McDonald's"", '0.0109106'), ('Motorsport', '0.010445'), ('Cat', '0.0101264'), ('Mobile phone', '0.00996907'), ('Doughnut', '0.00994764'), ('Ice', '0.00983007'), ('Macintosh', '0.00947347'), ('Machine', '0.00945044'), ('Computer hardware', '0.00924412')]"
-4P8-sJqukY,"[('Hot air balloon', '0.35213'), ('Balloon (aeronautics)', '0.134358'), ('Video game', '0.124812'), ('Vehicle', '0.109362'), ('Balloon', '0.087633'), ('Food', '0.0646167'), ('Car', '0.0536717'), ('Game', '0.0441921'), ('Television advertisement', '0.0238446'), ('Photography', '0.012284'), ('Trailer (promotion)', '0.0109778'), ('Radio-controlled model', '0.0107914'), ('Elevator', '0.00864443'), ('Drifting (motorsport)', '0.00787493'), ('Printing', '0.00748953'), ('Typography', '0.0074299'), ('Aircraft', '0.00664284'), ('Animation', '0.00637828'), ('Wine', '0.00636425'), ('Racing', '0.00588037')]"
-5bLu-NETl0,"[('Website', '0.0725519'), ('Video game', '0.0288155'), ('Microsoft Windows', '0.0272396'), ('Vehicle', '0.0248221'), ('Mobile phone', '0.0240001'), ('Hard disk drive', '0.0226232'), ('Web page', '0.0226198'), ('Video game console', '0.0214446'), ('Credit card', '0.0200752'), ('Personal computer', '0.0147329'), ('Wii', '0.0145681'), ('Computer hardware', '0.013819'), ('Macintosh', '0.0131179'), ('Printer (computing)', '0.0116322'), ('Barcode', '0.0112734'), ('Car', '0.0109281'), ('DVD', '0.0101229'), ('Router (computing)', '0.00881099'), ('PlayStation 4', '0.0083708'), ('Toy', '0.0080354')]"
-7TzvnMnflE,"[('Cartoon', '0.805026'), ('Animation', '0.132279'), ('Vehicle', '0.0428838'), ('Video game', '0.0214945'), ('Car', '0.0182222'), ('Food', '0.016234'), ('Wii', '0.0133087'), ('Game', '0.0106296'), ('Television advertisement', '0.0105912'), ('RuneScape', '0.00868141'), ('Cartoon Network', '0.00791342'), ('Crayon Shin-chan', '0.00646861'), ('Cat', '0.00538226'), ('Animal', '0.00534322'), ('Drawing', '0.00526843'), ('Sheet music', '0.00497173'), ('Advertising', '0.00468455'), ('Minecraft', '0.00434808'), ('Beer', '0.00392014'), ('Alphabet', '0.00388542')]"
-8M5Ekbt2hA,"[('Video game', '0.191235'), ('Game', '0.188133'), ('Rayman', '0.0316747'), ('Vehicle', '0.0279263'), ('Animation', '0.0271396'), ('University', '0.0192748'), ('Action-adventure game', '0.0184249'), ('Photography', '0.0176374'), ('Kinect', '0.0173711'), ('Sonic the Hedgehog', '0.0154884'), ('Car', '0.0129816'), ('Grand Theft Auto V', '0.0114426'), ('Radio-controlled model', '0.0113137'), ('Kamen Rider Series', '0.0106476'), ('Watch Dogs', '0.0105109'), ('Model aircraft', '0.00899325'), ('Hatsune Miku: Project DIVA', '0.00893727'), ('Television advertisement', '0.00852543'), ('Robot', '0.00810031'), ('Radio-controlled aircraft', '0.00662555')]"
-8MdcMtT_ME,"[('Vehicle', '0.174424'), ('Car', '0.12646'), ('Trailer (promotion)', '0.0901668'), ('Medicine', '0.0234496'), ('Dance', '0.0228776'), ('Television advertisement', '0.0174836'), ('Video game', '0.0135858'), ('Photography', '0.0130406'), ('Tattoo', '0.00990352'), ('Animation', '0.00989087'), ('Food', '0.00974789'), ('Derek Shepherd', '0.00818417'), ('Portal (video game)', '0.00670916'), ('Portal 2', '0.00591524'), ('Robot', '0.00558633'), ('Boat', '0.00517569'), ('Chair', '0.00497645'), ('Coin', '0.00496687'), ('Motorsport', '0.00466697'), ('Nail (anatomy)', '0.00465791')]"
-AwMpYwAC9U,"[('Tool', '0.43077'), ('Wood', '0.0850286'), ('Router (woodworking)', '0.0737725'), ('Radio-controlled model', '0.0704413'), ('Saw', '0.0556358'), ('Radio-controlled car', '0.0436439'), ('Vehicle', '0.0424522'), ('Drill', '0.0315884'), ('Toy', '0.0283309'), ('Drawer (furniture)', '0.0282015'), ('Car', '0.0252369'), ('Machine', '0.024457'), ('Table (furniture)', '0.0239099'), ('Cabinetry', '0.0210667'), ('Door', '0.0183913'), ('Animal', '0.0143381'), ('Window', '0.0104687'), ('Lock (security device)', '0.0101408'), ('Woodturning', '0.00878505'), ('GoPro', '0.00637929')]"
-F_dH1JLMd4,"[('Animation', '0.0975171'), ('Food', '0.0506846'), ('The Walt Disney Company', '0.0461751'), ('Hair', '0.0339316'), ('The Sims', '0.0273943'), ('Model (person)', '0.0264463'), ('Video game', '0.0211743'), ('Barbie', '0.0175917'), ('Game', '0.0151016'), ('Toy', '0.0147681'), ('Vehicle', '0.0122372'), ('Cartoon', '0.0085234'), ('Mermaid', '0.00835864'), ('Animal', '0.00822243'), ('Photography', '0.00814111'), ('Fashion', '0.00687701'), ('Doll', '0.00671435'), ('Car', '0.00552984'), ('/m/021bp2', '0.00548954'), ('Video game console', '0.00520073')]"
-GXdHhCctJ8,"[('Animation', '0.0906909'), ('The Sims 4', '0.0431541'), ('Dance', '0.0373489'), ('Robot', '0.0329592'), ('Television advertisement', '0.0285199'), ('Kinect', '0.0281824'), ('Comedy (drama)', '0.0203655'), ('Game', '0.017531'), ('Willy Wonka', '0.0167015'), ('Higurashi When They Cry', '0.0152064'), ('Cartoon', '0.0144159'), ('Xbox', '0.0125689'), ('Video game', '0.0111965'), ('Tales (series)', '0.0111591'), ('Dentist', '0.00940907'), ('Choir', '0.0088475'), ('Pet', '0.00822068'), ('Car', '0.00705482'), ('Vehicle', '0.00690039'), ('Hair', '0.00677069')]"
-HEPmxN0Yo8,"[('Animation', '0.521815'), ('Planet', '0.0679105'), ('Bionicle', '0.0643751'), ('Star Wars', '0.0394254'), ('Mars', '0.038858'), ('Video game', '0.0347063'), ('Photography', '0.0163746'), ('Logo', '0.0149195'), ('Turtle', '0.013604'), ('Portal 2', '0.0134737'), ('Television advertisement', '0.0122252'), ('Cartoon', '0.00876068'), ('Moon', '0.00805162'), ('Robot', '0.00759177'), ('Toy', '0.00704478'), ('Hunting', '0.00636514'), ('Food', '0.00608933'), ('Dance', '0.0060163'), ('Desert', '0.00587187'), ('Animal', '0.00569077')]"
-MhQMr0RIOc,"[('Animation', '0.112151'), ('Cartoon', '0.0870638'), ('Number', '0.0732364'), ('Stardoll', '0.0333806'), ('Video game', '0.0326549'), ('Alphabet', '0.0270669'), ('Stick figure', '0.0204534'), ('Food', '0.0189104'), ('Biology', '0.0150836'), ('Game', '0.0146452'), ('Pig', '0.0101053'), ('Chemical reaction', '0.00987639'), ('Driving', '0.00916907'), ('Line Rider', '0.00842727'), ('Car', '0.00803361'), ('Vehicle', '0.00792091'), ('Cell (biology)', '0.0073098'), ('Television advertisement', '0.00685268'), ('Sonic the Hedgehog', '0.00659288'), ('Periodic table', '0.00589532')]"
-MvBcn3uX3I,"[('Food', '0.651799'), ('Steak', '0.446383'), ('Meat', '0.377059'), ('Vehicle', '0.132387'), ('Recipe', '0.128176'), ('Hamburger', '0.126638'), ('Beef', '0.117584'), ('Cooking', '0.106532'), ('Animal', '0.0636431'), ('Fast food', '0.0564445'), ('Car', '0.0270086'), ('Grilling', '0.0207235'), ('Pork', '0.0190572'), ('Insect', '0.0185363'), ('Macintosh', '0.0169706'), ('Dessert', '0.0164856'), ('Dish (food)', '0.0155923'), ('Beetle', '0.0118948'), ('Aliens vs. Predator (2010 video game)', '0.0111638'), ('Cuisine', '0.0110174')]"
-NeRmjXTMpg,"[('Headphones', '0.321467'), ('Fishing', '0.0643896'), ('Video game', '0.0618227'), ('Lighting', '0.0457236'), ('Animation', '0.0389792'), ('Vehicle', '0.0364635'), ('Car', '0.0329333'), ('Light', '0.0246683'), ('Microphone', '0.0231201'), ('Headset (audio)', '0.019871'), ('Portal 2', '0.0121978'), ('Game', '0.0117031'), ('Portal (video game)', '0.0114704'), ('Pet', '0.0103663'), ('PlayStation 4', '0.00787607'), ('Video game console', '0.00750642'), ('GLaDOS', '0.00749266'), ('Submarine', '0.00733999'), ('Nissan Silvia', '0.00715244'), ('Fish', '0.00684805')]"
