ad_id,Has this ad been deleted? Why?,what is the brand?,What is the product?,what is the category of the product?,"Do you believe that this video was sponsored by a commercial brand, public agency (e.g., FIESP/FIEMG/SESI), government agency or an youtuber (famous or not)?","Do you believe this ad employs multimedia (audio, video) or other features in its discourse to attract the attention of children?","Do any well known children character appear on the ad?
",Does this ad advertise a product geared to children?,"Based on your personal beliefs, 
do you think the ad is unsuitable for children?"
1kMEXhOMznQ,no,WeWork,Office Design,Business & Industrial,Commercial brand,no,no,no,no
4iN924ZPuq8,no,Nissan,Car,Auto & Vehicles,Commercial brand,no,no,no,no
9WllDS8ipGE,no,Twitter,Social Network,Online Services,Commercial brand,no,no,no,no
_bUC94FnH3s,no,Vivo,Internet,Internet & Telecom,Commercial brand,yes,no,no,no
gweNN7FV0B8,no,Uber,Ridesharing,Transportation,Commercial brand,no,no,no,no
bNyBMZIb-TU,no,DecoraPort,Decoration,Home & Garden,Commercial brand,no,no,no,no
U6bIky0P8tM,no,Content,Horror history,,Youtuber,no,no,no,yes
1YBY1Hyo7ls,no,CraveTV,Streaming Service,Arts & Entertainment,Commercial brand,no,no,no,no
dPBCIjA6kRs,no,Vivo,Internet,Internet & Telecom,Commercial brand,yes,no,no,no
pe8J6Hs_zNA,no,WeWork,Office Design,Business & Industrial,Commercial brand,no,no,no,no
jLpaRzJ7qX8,no,Taiwan Tourismo,Tourism,Travel,Government,no,no,no,no
ZFGmv22PsVo,no,Dennix,Music,Arts & Entertainment,Commercial brand,no,no,no,no
jsngUBUAE8w,no,Speedy Glass,Windshield Recalibration,Auto & Vehicles,Commercial brand,no,no,no,no
WyiH4RXTnNg,no,Recco Man,Underwear,Clothing,Commercial brand,no,no,no,no
p9b9pLNVxpo,no,Divino Fogão,Restaurant,Food & Drink,Commercial brand,no,no,no,no
HJPxAG9QTg0,no,TruShield,Insurance,Business & Industrial,Commercial brand,no,no,no,no
5bIyjUQX4Mw,no,Market One Media Group,News,News,Commercial brand,no,no,no,no
KjD_gTw2CZE,no,Content,Channel,,Youtuber,no,no,no,no
kTS-E0E6l1k,no,Canadian Rack,Warehouse Services,Business & Industrial,Commercial brand,no,no,no,no
bQPR99T4QAA,no,Grammarly,Grammar App,Online Services,Commercial brand,no,no,no,no
