VideoId,LabelConfidencePairs
../videos/WotBV7VpZ8k.mp4,0 0.882586 1 0.55009 42 0.317384 643 0.197858 215 0.0746421 111 0.0573268 25 0.0562789 447 0.0419163 217 0.0175199 431 0.013932 893 0.00943026 147 0.00633231 93 0.00625992 423 0.0061896 36 0.00548724 290 0.00441919 2179 0.00405632 774 0.00279089 1250 0.00261129 851 0.00259085
../videos/Wv8BKAsOOrg.mp4,11 0.0826024 2 0.071662 17 0.0687118 7 0.0478325 1 0.0286116 315 0.0250251 183 0.0225715 1189 0.0214499 230 0.0207623 3217 0.0148632 134 0.0145376 9 0.0135216 94 0.0133421 1675 0.0131544 1107 0.0126111 85 0.0121413 36 0.0116328 147 0.0109535 2700 0.0107587 517 0.0104201
../videos/Wvg--7kZ5Mg.mp4,53 0.600184 58 0.439766 210 0.255732 214 0.103605 685 0.0443134 64 0.0409539 60 0.0402383 2 0.0310955 333 0.0295163 1 0.0256265 19 0.0255848 150 0.0162479 0 0.0146571 696 0.0135384 163 0.0104138 7 0.00963419 119 0.00797461 1956 0.00738268 30 0.00719095 26 0.00699088
../videos/WyiH4RXTnNg.mp4,25 0.273337 14 0.109692 2 0.0738251 315 0.0684075 7 0.0587091 1 0.0287384 146 0.0231926 64 0.020752 149 0.00706135 332 0.00607399 16 0.00575959 391 0.00486738 66 0.00379548 1814 0.00373447 2947 0.00324922 11 0.00304706 2807 0.00298968 469 0.00295948 595 0.0029172 17 0.00284471
../videos/X30N9H1pxhA.mp4,246 0.319225 1 0.0536566 106 0.0503291 658 0.0411672 1296 0.0389414 105 0.0309674 150 0.0223041 21 0.0222815 703 0.0219844 315 0.0191249 0 0.0154643 11 0.0133001 23 0.0129143 3721 0.0119317 15 0.0106824 16 0.00927829 74 0.00697485 146 0.00685392 269 0.00648159 3764 0.00628288
../videos/X3FZYCpZtdg.mp4,11 0.894531 32 0.778295 29 0.752296 20 0.318976 368 0.207876 680 0.200765 221 0.190042 692 0.189718 22 0.145238 315 0.118887 112 0.0667078 767 0.0451003 1402 0.0373725 3506 0.0307796 1501 0.0188506 969 0.0120477 472 0.010247 624 0.0101838 752 0.010129 1553 0.0100816
../videos/X3aE1vVNn8k.mp4,1 0.0911702 1044 0.070932 1090 0.0644962 259 0.0546815 8 0.0544822 15 0.0416475 16 0.0350021 0 0.0299765 1750 0.0210171 517 0.0187619 2307 0.0148737 2 0.0144302 2700 0.0140275 7 0.0105606 105 0.00910495 315 0.0088552 505 0.00836955 11 0.00805649 1195 0.00802611 26 0.0072043
../videos/X4F10-aOmLA.mp4,11 0.100857 2 0.0697188 1 0.0646407 7 0.0372098 315 0.0340833 0 0.0177822 210 0.0165578 44 0.0165524 105 0.0146919 505 0.0141052 434 0.0137127 183 0.0135725 25 0.00797946 17 0.00764489 903 0.00713187 150 0.00674353 517 0.00665896 816 0.00635334 106 0.00537955 16 0.0053465
../videos/X4x4wYb0TJc.mp4,2 0.0495086 25 0.0462049 64 0.0424617 89 0.0363617 146 0.0331721 315 0.0328817 7 0.0249701 1 0.0217292 16 0.0179507 17 0.0140076 149 0.0128564 1084 0.00949879 429 0.00940588 420 0.00938742 259 0.00744017 505 0.00686923 11 0.00657012 41 0.00634789 8 0.00621687 26 0.00596936
../videos/X8_fAEdljIg.mp4,16 0.241857 5 0.0534125 315 0.0468052 11 0.0392337 26 0.0268621 903 0.0188295 505 0.0169483 744 0.0159127 1610 0.0146957 150 0.0123151 250 0.0108712 1947 0.0102958 50 0.00916559 579 0.00894375 1701 0.0084509 929 0.00768454 105 0.00741861 2 0.00697247 382 0.00678995 1 0.00669846
