videoId,categories
ayAHqFrzB0g,"[('Toy', '0.491129'), ('Iron Man', '0.101591'), ('Doll', '0.0825758'), ('Toddler', '0.0732647'), ('Shoe', '0.0651086'), ('Spider-Man', '0.0424641'), ('Comics', '0.0357494'), ('Radio-controlled model', '0.0316756'), ('Fashion', '0.0266151'), ('Sonic the Hedgehog', '0.0235489'), ('Costume', '0.0172178'), ('Vehicle', '0.0155819'), ('Animation', '0.0127227'), ('Kamen Rider Series', '0.0121979'), ('Superman', '0.0110955'), ('Radio-controlled car', '0.00969728'), ('Car', '0.00943592'), ('Barbie', '0.00746141'), ('Hot Wheels', '0.00699143'), (""McDonald's"", '0.00602057')]"
bA_VvQweSvo,"[('Cartoon', '0.991406'), ('Animation', '0.887442'), ('My Little Pony', '0.132724'), ('Pony', '0.0670475'), ('Game', '0.0258133'), ('Video game', '0.0141459'), ('Luigi', '0.00708907'), ('Puppy', '0.00347656'), ('Cartoon Network', '0.00329716'), ('Peter Griffin', '0.00313268'), ('Yoshi', '0.00296808'), ('Sonic the Hedgehog', '0.00278615'), ('Bear', '0.00270348'), ('Art', '0.0026852'), ('Iron Man', '0.00260206'), ('/m/0fhnl08', '0.00229391'), ('Farm', '0.00219869'), ('Bowser (character)', '0.00188574'), ('Rainbow', '0.00187237'), ('Strawberry', '0.00186728')]"
bXD2Yisl73o,"[('Toy', '0.575284'), ('Bead', '0.345095'), ('Candy', '0.215823'), ('Beadwork', '0.194363'), ('Rainbow', '0.100727'), ('Game', '0.0912379'), ('Video game', '0.0389174'), ('Play-Doh', '0.034774'), ('Food', '0.0283036'), ('Balloon', '0.0183151'), ('Puzzle', '0.0182271'), (""Rubik's Cube"", '0.0137069'), ('Cartoon', '0.012467'), ('Grape', '0.011571'), ('Cube', '0.00806925'), ('Kinder Surprise', '0.00770665'), ('Gummi candy', '0.0061009'), ('Clay', '0.00580179'), ('Drawing', '0.00537148'), ('Ball', '0.00536621')]"
bY053FYzX9k,"[('Cartoon', '0.780849'), ('Animation', '0.453533'), ('Game', '0.316102'), ('Cattle', '0.19449'), ('Video game', '0.1223'), ('Animal', '0.03981'), ('/m/021bp2', '0.0351058'), ('Livestock', '0.0338165'), (""Garry's Mod"", '0.0260427'), ('Farm', '0.0239776'), ('The Sims 3', '0.0203411'), ('Pony', '0.0173356'), ('The Sims', '0.0165747'), ('My Little Pony', '0.0119234'), ('Guitar', '0.0101609'), ('Bull riding', '0.00698525'), ('Cowboy', '0.00623954'), ('The Sims 3: Pets', '0.00553501'), ('Music video', '0.00479271'), ('Sheriff Woody', '0.00451003')]"
bgNgD0L28Ek,"[('Cartoon', '0.747227'), ('Game', '0.50172'), ('Animation', '0.405915'), ('Video game', '0.326543'), ('Farm', '0.247932'), ('Cattle', '0.148906'), ('Animal', '0.0343141'), ('Livestock', '0.0144477'), ('/m/021bp2', '0.00968772'), ('Cartoon Network', '0.00534434'), ('Sonic the Hedgehog', '0.00531533'), ('Sheep', '0.00473678'), (""Garry's Mod"", '0.00441748'), ('The Walt Disney Company', '0.00382374'), ('The Sims', '0.00368866'), ('LittleBigPlanet (2008 video game)', '0.0036418'), ('Farming Simulator', '0.00337424'), ('Zoo', '0.00291726'), ('Grand Theft Auto V', '0.00288417'), ('Pet', '0.0026067')]"
bl-MLDBqKJY,"[('Animal', '0.380947'), ('Toy', '0.329722'), ('Drink', '0.195004'), ('Pet', '0.151988'), ('Fish', '0.101467'), ('Food', '0.0954667'), ('Sonic the Hedgehog', '0.0325982'), ('Juice', '0.0251516'), ('Kamen Rider Series', '0.023143'), ('Bottle', '0.0222782'), ('Goldfish', '0.0210689'), ('Gashapon', '0.0179325'), ('Shark', '0.0159574'), ('Glass', '0.0149269'), ('Aquarium', '0.0125493'), ('Dinosaur', '0.0123131'), (""McDonald's"", '0.0115933'), ('Vehicle', '0.0089587'), ('Tails (character)', '0.00861953'), ('Cartoon', '0.00787424')]"
c1KtEhlIdlM,"[('Cartoon', '0.907854'), ('Animation', '0.453486'), ('Game', '0.0348492'), ('Cartoon Network', '0.0346486'), ('Video game', '0.022975'), ('Dance', '0.0172984'), ('Planet', '0.0134316'), ('Crayon Shin-chan', '0.00931475'), ('Hatsune Miku: Project DIVA', '0.00914718'), ('Sonic the Hedgehog', '0.00903943'), ('Pokémon', '0.00733305'), ('Pig', '0.00648548'), ('Farm', '0.00533715'), ('Star', '0.0053122'), ('Dalmatian (dog)', '0.0052927'), ('Animal Crossing', '0.00475975'), ('Mickey Mouse', '0.00460764'), ('Animal', '0.00345078'), ('Christmas', '0.00344513'), ('Animal Crossing: New Leaf', '0.00289242')]"
cDvmZMsQm-I,"[('Rail transport', '0.964997'), ('Locomotive', '0.946133'), ('Vehicle', '0.93767'), ('Steam engine', '0.897356'), ('Train', '0.86086'), ('Transport', '0.737732'), ('Railroad car', '0.729572'), ('Engine', '0.128329'), ('Rail transport modelling', '0.0235258'), ('Animal', '0.00981695'), ('Thomas the Tank Engine', '0.0088735'), ('Car', '0.00589377'), ('Harry Potter', '0.00583388'), ('Hogwarts', '0.00516455'), ('Video game', '0.00509192'), ('Train Simulator (Dovetail Games)', '0.00441635'), ('Kawasaki motorcycles', '0.00321287'), ('Red Dead', '0.00299799'), ('Toy', '0.00288942'), ('Union Pacific Railroad', '0.00271552')]"
cFPfcnVFh0I,"[('Cartoon', '0.954262'), ('Animation', '0.674072'), ('The Walt Disney Company', '0.417608'), ('Barbie', '0.128157'), ('Game', '0.125073'), ('Princess', '0.103991'), ('Video game', '0.0656887'), ('Ariel (Disney)', '0.046081'), ('Strawberry', '0.0283557'), ('Doll', '0.0163069'), ('Princess Jasmine', '0.00739931'), ('Toy', '0.00730599'), ('Mermaid', '0.00730367'), ('Aurora (Disney character)', '0.00641914'), ('Kinder Surprise', '0.00471029'), ('Dance', '0.00471028'), ('Littlest Pet Shop', '0.00444496'), ('Fruit', '0.0040173'), ('Dress', '0.00374154'), ('Christmas', '0.00335009')]"
cGWz955Tq98,"[('Sonic the Hedgehog', '0.0511114'), ('Video game', '0.0504066'), ('Comedy (drama)', '0.0405811'), ('Animation', '0.0361756'), ('Room', '0.032467'), ('Animal', '0.0228333'), ('Game', '0.0227029'), ('Toy', '0.0186279'), ('Food', '0.0175946'), ('Apartment', '0.0126331'), ('Couch', '0.0117349'), ('Iron Man', '0.0111056'), ('Hair', '0.0096171'), ('The Last of Us', '0.00920477'), ('Hulk (comics)', '0.0087663'), ('Music video', '0.00863895'), ('Kitten', '0.0083019'), ('Photography', '0.00797401'), ('Balloon', '0.00778291'), ('Cockroach', '0.00769151')]"
